Time of test;test type;file size[kB];time[ms];transfer media;test name
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;2;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
Tue Apr 24 21:08:23 CEST 2018;server read;100;0;local net;aa
Tue Apr 24 21:08:23 CEST 2018;memory write;100;1;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;memory read;100;0;SSD;aa
Tue Apr 24 21:08:23 CEST 2018;server write;100;1;local net;aa
