
Sat Sep 15 10:42:27 CEST 2018;server write;33554432;10424.200;net;t1lan;;;
Sat Sep 15 10:44:42 CEST 2018;server read;33554432;6478.650;net;t1lan;;;
Sat Sep 15 10:59:45 CEST 2018;server write;1024;0.200;net;t1wan;;;
Sat Sep 15 10:59:53 CEST 2018;server read;1024;169.400;net;t1wan;;;
Sat Sep 15 10:59:53 CEST 2018;server write;2048;0.100;net;t1wan;;;
Sat Sep 15 11:00:01 CEST 2018;server read;2048;147.900;net;t1wan;;;
Sat Sep 15 11:00:01 CEST 2018;server write;4096;0.050;net;t1wan;;;
Sat Sep 15 11:00:09 CEST 2018;server read;4096;165.000;net;t1wan;;;
Sat Sep 15 11:00:10 CEST 2018;server write;8192;22.950;net;t1wan;;;
Sat Sep 15 11:00:18 CEST 2018;server read;8192;177.850;net;t1wan;;;
Sat Sep 15 11:00:21 CEST 2018;server write;16384;125.100;net;t1wan;;;
Sat Sep 15 11:00:31 CEST 2018;server read;16384;224.750;net;t1wan;;;
Sat Sep 15 11:00:36 CEST 2018;server write;32768;273.450;net;t1wan;;;
Sat Sep 15 11:00:46 CEST 2018;server read;32768;242.250;net;t1wan;;;
Sat Sep 15 11:00:48 CEST 2018;server write;65536;125.350;net;t1wan;;;
Sat Sep 15 11:00:58 CEST 2018;server read;65536;216.400;net;t1wan;;;
Sat Sep 15 11:01:09 CEST 2018;server write;131072;547.650;net;t1wan;;;
Sat Sep 15 11:01:19 CEST 2018;server read;131072;281.550;net;t1wan;;;
Sat Sep 15 11:01:53 CEST 2018;server write;262144;1682.200;net;t1wan;;;
Sat Sep 15 11:02:17 CEST 2018;server read;262144;964.200;net;t1wan;;;
Sat Sep 15 11:04:12 CEST 2018;server write;524288;5733.750;net;t1wan;;;
Sat Sep 15 11:04:30 CEST 2018;server read;524288;673.800;net;t1wan;;;
Sat Sep 15 11:06:25 CEST 2018;server write;1048576;5733.000;net;t1wan;;;
Sat Sep 15 11:07:17 CEST 2018;server read;1048576;2362.350;net;t1wan;;;
Sat Sep 15 11:10:51 CEST 2018;server write;2097152;10708.750;net;t1wan;;;
Sat Sep 15 11:12:19 CEST 2018;server read;2097152;4124.000;net;t1wan;;;
Sat Sep 15 11:20:23 CEST 2018;server write;4194304;24209.700;net;t1wan;;;
Sat Sep 15 11:24:16 CEST 2018;server read;4194304;11370.550;net;t1wan;;;
Sat Sep 15 11:42:55 CEST 2018;server write;8388608;55946.350;net;t1wan;;;
Sat Sep 15 11:46:52 CEST 2018;server read;8388608;11627.850;net;t1wan;;;
Sat Sep 15 12:20:20 CEST 2018;server write;16777216;100376.850;net;t1wan;;;
Sat Sep 15 12:29:47 CEST 2018;server read;16777216;28126.050;net;t1wan;;;
Sat Sep 15 12:32:32 CEST 2018;server write;33554432;235376.650;net;t1wan;;;
Sat Sep 15 12:45:47 CEST 2018;server read;33554432;68126.250;net;t1wan;;;
Sat Sep 15 13:17:48 CEST 2018;server write;1024;123.400;net;t2wan;;;
Sat Sep 15 13:17:52 CEST 2018;server write;2048;190.750;net;t2wan;;;
Sat Sep 15 13:17:56 CEST 2018;server write;4096;199.350;net;t2wan;;;
Sat Sep 15 13:18:00 CEST 2018;server write;8192;205.600;net;t2wan;;;
Sat Sep 15 13:18:06 CEST 2018;server write;16384;287.150;net;t2wan;;;
Sat Sep 15 13:18:12 CEST 2018;server write;32768;324.200;net;t2wan;;;
Sat Sep 15 13:18:24 CEST 2018;server write;65536;581.050;net;t2wan;;;
Sat Sep 15 13:18:45 CEST 2018;server write;131072;1050.650;net;t2wan;;;
Sat Sep 15 13:19:32 CEST 2018;server write;262144;2321.500;net;t2wan;;;
Sat Sep 15 13:21:01 CEST 2018;server write;524288;4473.650;net;t2wan;;;
Sat Sep 15 13:25:57 CEST 2018;server write;1048576;14818.700;net;t2wan;;;
Sat Sep 15 13:35:36 CEST 2018;server write;2097152;28946.250;net;t2wan;;;
Sat Sep 15 13:44:21 CEST 2018;server write;1024;3.900;net;test2lan;;;
Sat Sep 15 13:44:21 CEST 2018;server write;2048;6.400;net;test2lan;;;
Sat Sep 15 13:44:21 CEST 2018;server write;4096;5.050;net;test2lan;;;
Sat Sep 15 13:44:22 CEST 2018;server write;8192;8.250;net;test2lan;;;
Sat Sep 15 13:44:22 CEST 2018;server write;16384;6.950;net;test2lan;;;
Sat Sep 15 13:44:22 CEST 2018;server write;32768;18.450;net;test2lan;;;
Sat Sep 15 13:44:23 CEST 2018;server write;65536;43.450;net;test2lan;;;
Sat Sep 15 13:44:25 CEST 2018;server write;131072;85.700;net;test2lan;;;
Sat Sep 15 13:44:27 CEST 2018;server write;262144;138.650;net;test2lan;;;
Sat Sep 15 13:44:33 CEST 2018;server write;524288;270.450;net;test2lan;;;
Sat Sep 15 13:44:44 CEST 2018;server write;1048576;547.650;net;test2lan;;;
Sat Sep 15 13:45:06 CEST 2018;server write;2097152;1088.400;net;test2lan;;;
Sat Sep 15 13:45:35 CEST 2018;server write;4194304;1455.450;net;test2lan;;;
Sat Sep 15 13:46:38 CEST 2018;server write;8388608;3158.350;net;test2lan;;;
Sat Sep 15 13:48:46 CEST 2018;server write;16777216;6406.500;net;test2lan;;;
Sat Sep 15 13:53:57 CEST 2018;server write;33554432;15514.650;net;test2lan;;;
