
Fri Sep 14 12:16:06 CEST 2018;memory read;2048;0.200;hdd;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;server write;4096;0.100;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;server read;4096;6.800;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;memory write;4096;0.500;hdd;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;memory read;4096;0.300;hdd;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;server write;8192;0.100;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;server read;8192;8.100;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;memory write;8192;0.600;hdd;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;memory read;8192;0.200;hdd;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;server write;16384;1.400;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;server read;16384;12.300;net;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;memory write;16384;1.100;hdd;lan2h;;;
Fri Sep 14 12:16:06 CEST 2018;memory read;16384;0.200;hdd;lan2h;;;
Fri Sep 14 12:17:29 CEST 2018;server write;1024;0.180;net;lan3h;;;
Fri Sep 14 12:17:29 CEST 2018;server read;1024;3.300;net;lan3h;;;
Fri Sep 14 12:17:30 CEST 2018;memory write;1024;4.560;hdd;lan3h;;;
Fri Sep 14 12:17:30 CEST 2018;memory read;1024;0.150;hdd;lan3h;;;
Fri Sep 14 12:17:30 CEST 2018;server write;2048;0.280;net;lan3h;;;
Fri Sep 14 12:17:30 CEST 2018;server read;2048;3.790;net;lan3h;;;
Fri Sep 14 12:17:30 CEST 2018;memory write;2048;0.790;hdd;lan3h;;;
Fri Sep 14 12:17:30 CEST 2018;memory read;2048;0.080;hdd;lan3h;;;
Fri Sep 14 12:17:30 CEST 2018;server write;4096;0.300;net;lan3h;;;
Fri Sep 14 12:17:31 CEST 2018;server read;4096;6.710;net;lan3h;;;
Fri Sep 14 12:17:31 CEST 2018;memory write;4096;0.510;hdd;lan3h;;;
Fri Sep 14 12:17:31 CEST 2018;memory read;4096;0.080;hdd;lan3h;;;
Fri Sep 14 12:17:31 CEST 2018;server write;8192;1.160;net;lan3h;;;
Fri Sep 14 12:17:32 CEST 2018;server read;8192;6.110;net;lan3h;;;
Fri Sep 14 12:17:32 CEST 2018;memory write;8192;0.450;hdd;lan3h;;;
Fri Sep 14 12:17:32 CEST 2018;memory read;8192;0.050;hdd;lan3h;;;
Fri Sep 14 12:17:32 CEST 2018;server write;16384;4.240;net;lan3h;;;
Fri Sep 14 12:17:33 CEST 2018;server read;16384;7.730;net;lan3h;;;
Fri Sep 14 12:17:33 CEST 2018;memory write;16384;0.430;hdd;lan3h;;;
Fri Sep 14 12:17:33 CEST 2018;memory read;16384;0.050;hdd;lan3h;;;
Fri Sep 14 12:17:34 CEST 2018;server write;32768;8.190;net;lan3h;;;
Fri Sep 14 12:17:35 CEST 2018;server read;32768;12.930;net;lan3h;;;
Fri Sep 14 12:17:35 CEST 2018;memory write;32768;0.550;hdd;lan3h;;;
Fri Sep 14 12:17:35 CEST 2018;memory read;32768;0.050;hdd;lan3h;;;
Fri Sep 14 12:17:37 CEST 2018;server write;65536;20.800;net;lan3h;;;
Fri Sep 14 12:17:39 CEST 2018;server read;65536;21.390;net;lan3h;;;
Fri Sep 14 12:17:40 CEST 2018;memory write;65536;0.780;hdd;lan3h;;;
Fri Sep 14 12:17:40 CEST 2018;memory read;65536;0.070;hdd;lan3h;;;
Fri Sep 14 12:17:43 CEST 2018;server write;131072;38.470;net;lan3h;;;
Fri Sep 14 12:17:48 CEST 2018;server read;131072;42.020;net;lan3h;;;
Fri Sep 14 12:17:48 CEST 2018;memory write;131072;1.170;hdd;lan3h;;;
Fri Sep 14 12:17:48 CEST 2018;memory read;131072;0.090;hdd;lan3h;;;
