Tue Sep 11 16:17:21 CEST 2018;memory read;33554432;26;ssd;1;;
Tue Sep 11 17:25:46 CEST 2018;server write;1024;440;net;wan;;;
Tue Sep 11 17:26:53 CEST 2018;server read;1024;667;net;wan;;;
Tue Sep 11 17:26:55 CEST 2018;memory write;1024;1;HDD;wan;;;
Tue Sep 11 17:26:55 CEST 2018;memory read;1024;0;HDD;wan;;;
Tue Sep 11 17:28:09 CEST 2018;server write;2048;739;net;wan;;;
Tue Sep 11 17:29:18 CEST 2018;server read;2048;689;net;wan;;;
Tue Sep 11 17:29:18 CEST 2018;memory write;2048;3;HDD;wan;;;
Tue Sep 11 17:29:18 CEST 2018;memory read;2048;0;HDD;wan;;;
Tue Sep 11 17:30:23 CEST 2018;server write;4096;647;net;wan;;;
Tue Sep 11 17:31:24 CEST 2018;server read;4096;610;net;wan;;;
Tue Sep 11 17:31:24 CEST 2018;memory write;4096;4;HDD;wan;;;
Tue Sep 11 17:31:24 CEST 2018;memory read;4096;0;HDD;wan;;;
Tue Sep 11 17:32:30 CEST 2018;server write;8192;650;net;wan;;;
Tue Sep 11 17:33:26 CEST 2018;server read;8192;566;net;wan;;;
Tue Sep 11 17:33:27 CEST 2018;memory write;8192;4;HDD;wan;;;
Tue Sep 11 17:33:27 CEST 2018;memory read;8192;0;HDD;wan;;;
Tue Sep 11 18:55:27 CEST 2018;server write;16384;593;net;wan;;;
Tue Sep 11 18:55:28 CEST 2018;server read;16384;388;net;wan;;;
Tue Sep 11 18:55:30 CEST 2018;memory write;16384;801;HDD;wan;;;
Tue Sep 11 18:55:30 CEST 2018;memory read;16384;1;HDD;wan;;;
Tue Sep 11 18:55:32 CEST 2018;server write;32768;625;net;wan;;;
Tue Sep 11 18:55:34 CEST 2018;server read;32768;525;net;wan;;;
Tue Sep 11 18:55:34 CEST 2018;memory write;32768;1;HDD;wan;;;
Tue Sep 11 18:55:34 CEST 2018;memory read;32768;0;HDD;wan;;;
Tue Sep 11 18:55:36 CEST 2018;server write;65536;675;net;wan;;;
Tue Sep 11 18:55:37 CEST 2018;server read;65536;464;net;wan;;;
Tue Sep 11 18:55:37 CEST 2018;memory write;65536;4;HDD;wan;;;
Tue Sep 11 18:55:37 CEST 2018;memory read;65536;1;HDD;wan;;;
Tue Sep 11 19:13:21 CEST 2018;server write;131072;833;net;wan;;;
Tue Sep 11 19:13:23 CEST 2018;server read;131072;505;net;wan;;;
Tue Sep 11 19:13:25 CEST 2018;memory write;131072;794;HDD;wan;;;
Tue Sep 11 19:13:25 CEST 2018;memory read;131072;1;HDD;wan;;;
Tue Sep 11 19:13:29 CEST 2018;server write;262144;1251;net;wan;;;
Tue Sep 11 19:13:31 CEST 2018;server read;262144;692;net;wan;;;
Tue Sep 11 19:13:31 CEST 2018;memory write;262144;7;HDD;wan;;;
